signal_id,bot,alert_date,candle_date,kind,direction,ticker,timeframe,entry_close,stop_level,chg_1d,chg_3d,chg_7d,chg_30d,chg_90d,chg_180d,last_chg,best_target_pct,realized_pct,tp_date,exit_date,stop_date,stop_chg,result,status
CRYPTO_TSLAX-USD_12H_2026-06-18,crypto_intraday,2026-06-19,2026-06-18,CRYPTO,long,TSLAX-USD,12H,399.6144104,385.1143494,+0.06,-0.28,,,,,-0.28,0,,,,,,open,open
CRYPTO_TBK39177-USD_6H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,TBK39177-USD,6H,0.5999258161,0.5828205347,+2.37,+5.83,,,,,+5.83,20,10,2026-06-21,2026-06-22,,,took_profit,took_profit
CRYPTO_TBK39177-USD_8H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,TBK39177-USD,8H,0.6015430689,0.5828205347,+2.09,+5.54,,,,,+5.54,20,10,2026-06-21,2026-06-22,,,took_profit,took_profit
CRYPTO_HTX-USD_6H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,HTX-USD,6H,1.708220339e-06,1.699099244e-06,+17.08,+2.28,,,,,+2.28,10,,2026-06-20,,,,open,open
CRYPTO_BEAT38837-USD_6H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,BEAT38837-USD,6H,2.008342028,1.588905811,-13.75,-13.75,,,,,-13.75,0,,,,,,open,open
CRYPTO_RE-USD_6H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,RE-USD,6H,0.8073070645,0.4256969094,+24.38,+18.06,,,,,+18.06,30,20,2026-06-20,2026-06-21,,,took_profit,took_profit
CRYPTO_TBK39177-USD_12H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,TBK39177-USD,12H,0.6078280807,0.5828205347,+1.04,+4.45,,,,,+4.45,20,10,2026-06-21,2026-06-22,,,took_profit,took_profit
CRYPTO_BEAT38837-USD_8H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,BEAT38837-USD,8H,1.964882493,1.597609639,-11.84,-11.84,,,,,-11.84,0,,,,,,open,open
CRYPTO_GNO-USD_8H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,GNO-USD,8H,105.9599991,104.2399979,+2.07,+2.14,,,,,+2.14,0,,,,,,open,open
CRYPTO_AKT-USD_8H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,AKT-USD,8H,0.7609999776,0.7189999819,+0.97,-0.92,,,,,-0.92,0,,,,2026-06-21,-5.52,stopped_out,stopped_out
CRYPTO_RE-USD_8H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,RE-USD,8H,0.7525385022,0.4256969094,+33.44,+26.65,,,,,+26.65,40,30,2026-06-20,2026-06-21,,,took_profit,took_profit
CRYPTO_TWT-USD_6H_2026-06-19,crypto_intraday,2026-06-19,2026-06-19,CRYPTO,long,TWT-USD,6H,0.3843983412,0.3799871802,+0.78,-0.56,,,,,-0.56,0,,,,2026-06-20,-1.15,stopped_out,stopped_out
CRYPTO_KOGE-USD_6H_2026-06-19,crypto_intraday,2026-06-20,2026-06-19,CRYPTO,long,KOGE-USD,6H,63.70026016,61.55340195,-1.35,+0.25,,,,,+0.25,0,,,,2026-06-20,-3.37,stopped_out,stopped_out
CRYPTO_GOMINING-USD_8H_2026-06-19,crypto_intraday,2026-06-20,2026-06-19,CRYPTO,long,GOMINING-USD,8H,0.272198379,0.266364634,+6.61,+5.83,,,,,+5.83,0,,,,,,open,open
CRYPTO_JUP29210-USD_2D_2026-06-18,crypto_intraday,2026-06-20,2026-06-18,CRYPTO,long,JUP29210-USD,2D,0.1951429993,0.1811230034,-2.40,+9.69,,,,,+9.69,10,,2026-06-21,,,,open,open
CRYPTO_RLB-USD_2D_2026-06-18,crypto_intraday,2026-06-20,2026-06-18,CRYPTO,long,RLB-USD,2D,0.06202400103,0.059218999,-0.11,-3.22,,,,,-3.22,0,,,,,,open,open
CRYPTO_VVV35509-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,VVV35509-USD,6H,14.91720009,14.03009987,-0.17,,,,,,-0.17,0,,,,,,open,open
CRYPTO_BDX-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,BDX-USD,6H,0.08216256648,0.08004438877,-3.32,,,,,,-3.32,0,,,,2026-06-21,-2.58,stopped_out,stopped_out
CRYPTO_SLISBNB-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,SLISBNB-USD,6H,602.038269,591.6205444,+0.77,,,,,,+0.77,0,,,,,,open,open
CRYPTO_BSV-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,BSV-USD,6H,11.66660118,11.54885292,+0.14,,,,,,+0.14,0,,,,,,open,open
CRYPTO_ALE-USD_6H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,ALE-USD,6H,0.2587998807,0.2584667206,-0.05,,,,,,-0.05,0,,,,,,open,open
CRYPTO_SLISBNB-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,SLISBNB-USD,8H,606.9764404,591.6205444,-0.05,,,,,,-0.05,0,,,,,,open,open
CRYPTO_PYTH-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,PYTH-USD,8H,0.03660000116,0.03519999981,-2.55,,,,,,-2.55,0,,,,,,open,open
CRYPTO_BSV-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,BSV-USD,8H,11.68331242,11.54885292,-0.00,,,,,,-0.00,0,,,,,,open,open
CRYPTO_INTCX-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,INTCX-USD,8H,138.3577271,134.5884552,-0.90,,,,,,-0.90,0,,,,,,open,open
CRYPTO_SFRXETH-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,SFRXETH-USD,8H,2001.723633,1969.297485,+0.53,,,,,,+0.53,0,,,,,,open,open
CRYPTO_SFP-USD_8H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,SFP-USD,8H,0.2344140112,0.2307188511,-1.66,,,,,,-1.66,0,,,,2026-06-21,-1.58,stopped_out,stopped_out
CRYPTO_APEPE27048-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,APEPE27048-USD,12H,1.070727421e-06,1.058782686e-06,-6.61,,,,,,-6.61,0,,,,2026-06-21,-1.12,stopped_out,stopped_out
CRYPTO_PIEVERSE-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,PIEVERSE-USD,12H,0.7157946229,0.6449711919,-4.55,,,,,,-4.55,0,,,,,,open,open
CRYPTO_NVDAX-USD_12H_2026-06-20,crypto_intraday,2026-06-20,2026-06-20,CRYPTO,long,NVDAX-USD,12H,209.7709351,208.7910004,-0.85,,,,,,-0.85,0,,,,2026-06-21,-0.47,stopped_out,stopped_out
